Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
BRB_unify_low_franconia_desc;With the unification of the Low Countries, we have only one pressing matter left at hand - the Rhenish Germans. They still consider themselves different from us, refusing to fully integrate. It is an opportunity, however: since changing their mind and forcefully making them accept our customs is going to be incredibly expensive, we could instead recognize them as a different, albeit brotherly, nation - one that would be a constituent of a Low Franconian Union. Undoubtedly ambitious, this plan shall become the basis of the Flemish foreign policy, that may lead to something even greater.;;;;;;;;;;;;;
BRB_save_england_title;Fate of the Martlet;;;;;;;;;;;;;
BRB_save_england_desc;Our cousins across the Channel, the English, have been suffering under the Danish yoke for half a millenium. When they finally decided to throw it off in 1797, their overzealousness caused an all-European emergency, the Martletist Wars, out of which we gained the duchies of Kent and Sussex. Now, the English are awakening once again. We understand their desires for freedom and we will support them, but perhaps they are a bit too... hotheaded. A more sensible, level-headed approach is needed. They will get their freedom, but as our subjects.;;;;;;;;;;;;;
BRB_form_westland_title;West Germanic Union;;;;;;;;;;;;;
BRB_form_westland_desc;The Lowlands, England and Lower Saxony share many similarities, stemming from the same roots. Our search for security and stability in the region led us to gaining large swathes of land and the sympathy of the local peoples, who we may consider brotherly. Perhaps, its is Flanders' geopolitical destiny to end the separation between West Germanic peoples in the form of a new union - Westland.;;;;;;;;;;;;;
break_caerlleon_title;Break the Peace of Caerlleon;;;;;;;;;;;;;
break_caerlleon_desc;The recent events on the Isles clearly signify that the Treaty of Caerlleon has outlived its usefulness. Changes in the political landscape require greater freedom of actions, and no matter the economic consequences, we shall renounce the Treaty and openly position ourselves against our former partner.;;;;;;;;;;;;; 
CLT_invade_midlands_title;Invade the Midlands;;;;;;;;;;;;;
CLT_invade_midlands_desc;With the Peace of Caerlleon broken, we can no longer be sure of our safety on the Isles. Our continuous prosperity requires immediate action: we shall invade the rich lands of York and Mercia, thus depriving our Southern neighbour of much of their powerbase.;;;;;;;;;;;;;
CLT_unify_britain_title;Unify Prydain;;;;;;;;;;;;;
CLT_unify_britain_desc;We find ourselves at the brink of complete dominion over the entire isle of Prydain. Before us lay the heartlands of the Anglo-Saxons - Wessex and Lundenburg. It is time to finally bring an end to centuries of Germanic rule in the Isles and unify them under the true natives of these lands - the Celts!;;;;;;;;;;;;;
CLT_peace_on_the_isles_title;Peace on the Isles;;;;;;;;;;;;;
CLT_peace_on_the_isles_desc;The Celtic Union is triumphant. We have completely dominated the Isles, kicking out the Danes, the Anglo-Saxons and even the opportunistic Flemish kings. We do not, however, possess the means to alter the ethnic landscape of our newly-acquired land. In order to maintain a good public image, as well as to finally integrate the lands into the Union fully, we will have to come to terms with the inhabitants of these lands. Only then will the Isles truly know peace.;;;;;;;;;;;;;
DAN_ask_for_NZ_title;Ask for New Sjaelland;;;;;;;;;;;;;
DAN_ask_for_NZ_desc;Our Danish allies have recently established a colony on the islands of New Sjaelland in the Pacific Ocean. Currently, this colony is more trouble than it's worth, as there are no immediate natural resources on the isles and the natives are hostile to all. As such, we believe that the Danes may be willing to part with these isles freely, instead giving them to us, who desperately need a colony to work with.;;;;;;;;;;;;; 
DAN_southeastern_cession_title;End the Southeastern Cession;;;;;;;;;;;;;
DAN_southeastern_cession_desc;The Southeastern Cession is the name of the part of England that was given to the King of Brabant in the aftermath of the Martletist Wars. We are unsure as to what the folks in Brussels have in mind regarding this land, and, besides, it was under rightful Danelander sovereignty since 1495 as the autonomous Duchies of Kent and Sussex. Currently, the Cession is the most immediate threat to stability on the isles, and it must be dealt with quickly.;;;;;;;;;;;;;
DAN_integrate_london_title;Integrate the Free City;;;;;;;;;;;;;
DAN_integrate_london_desc;The Free City of Lundenburg was created in the aftermath of the Martletist Wars as both a compromise between the Danelanders and the Brabantians and an independent state of the Anglo-Saxons. As time passes, we can finally evaluate the results of this experiment - and they are not quite what we would have wanted. Lack of any sort of concrete legislation against Martletist thought turned the Free City into a hotbed of English separatism and otherwise negative dealings. Before this problem spirals out of control once again, we must end the Free City's independence.;;;;;;;;;;;;;
DAN_claim_britain_title;Claim Britain;;;;;;;;;;;;;
DAN_claim_britain_desc;The Peace of Caerlleon ended as unexpectedly as it began. The Celts and us now look at each other with severe distrust, realising that war is an inevitability. Our move would be to lay claim on the traditionally English lands in the north as well as Wales, all of which hold valuable resources for our industry.;;;;;;;;;;;;;
DAN_unify_britain_title;Unify Britain;;;;;;;;;;;;;
DAN_unify_britain_desc;In the Medieval times, Alba was heavily influenced by our Norse ancestors. Maybe not as much as Ireland, but we must nevertheless look to this example and prepare for a strike north, in an effort to disunite the Celts and end thir so-called 'Union'.;;;;;;;;;;;;;
DAN_integrate_celts_title;Integrate the Celts;;;;;;;;;;;;;
DAN_integrate_celts_desc;After our successful unification of Great Britain, we find ourselves ruling over masses of Celtic peoples. Unfortuantely, we will have to accept that the Danelanders would remain a minority, and give equal rights to our new subjects. Cymru and Alba will now be integral parts of our Kingdom.;;;;;;;;;;;;;
BYZ_minigame_switch_off_title;Turn off influence notifications;;;;;;;;;;;;;
BYZ_minigame_switch_off_desc;This decision allows you to turn off the influence change events. Be wary, however, that the minigame will decide your future expansion!;;;;;;;;;;;;;
BYZ_minigame_switch_on_title;Turn on influence notifications;;;;;;;;;;;;;
BYZ_minigame_switch_on_desc;This decision allows you to turn on the influence change events.;;;;;;;;;;;;;
BYZ_conquer_naples_title;End the Neapolitan Republic;;;;;;;;;;;;;
BYZ_conquer_naples_desc;The little Republic of Naples was left as an independent state following the Constantinople Accords, in an attempt by us to not become an international pariah by annexing too much land and by Arles to deprive us of access to the Ligurian Sea. With time, however, the Republic started leaning more and more towards Martletism, and it would be best for our holdings in Italy to not have a hotbed of Martletist activity right next to them.;;;;;;;;;;;;;
BYZ_conquer_naples_a_title;Conquer Naples;;;;;;;;;;;;;
BYZ_conquer_naples_a_desc;The little Republic of Naples was left as an independent state following the Constantinople Accords, in an attempt by us to not become an international pariah by annexing too much land and by Arles to deprive us of access to the Ligurian Sea. With time, however, the Republic started leaning more and more towards Martletism, and it eventually succumbed to a foreign invasion. We need to secure this valuable city for ourselves.;;;;;;;;;;;;;
BYZ_consolidate_longobardia_title;Consolidate Longobardia;;;;;;;;;;;;;
BYZ_consolidate_longobardia_desc;Longobardia was reconquered in the 16th century by the Imperial forces, becoming an integral part of the Empire and serving as a staging point for invasions further north. Following the War of the Verona Alliance we lost these lands to the Hautevilles, but were able to regain them after Napoleone pushed the Hautevilles to Sicily. We did not, however, keep the whole region, as the Catholic powers of Europe all united in a diplomatic offensive to enlarge the Papal State. Now, with Naples in our hands, we will regain control over all of Longobardia.;;;;;;;;;;;;;
BYZ_conquer_sicily_title;Reclaim Sicily;;;;;;;;;;;;;
BYZ_conquer_sicily_desc;Sicily too was an integral part of the Empire, even housing a significant population of descendants of Greek settlers who still consider themselves Greek. Currently the island is held by the troublesome Hautevilles, who even managed to maintain a small colonial Empire. They have been a thorn in our side for centuries now, and the time has come to crush them.;;;;;;;;;;;;;
BYZ_rescind_bulgarian_assimilation_title;Rescind Bulgarian assimilation;;;;;;;;;;;;;
BYZ_rescind_bulgarian_assimilation_desc;The policy of assimilating Bulgaria has been in place since the end of the Second Bulgarian Empire, and it has been somewhat successful in destroying Bulagrian identity in the theme of Thrace. However, it cannot continue like that - the state is wasting valuable resources by antogonizing Bulgarians instead of trying to integrate them. We will end this destructive practice.;;;;;;;;;;;;;
BYZ_punish_carpathia_title;Punish Carpathia;;;;;;;;;;;;;
BYZ_punish_carpathia_desc;Carpathia is an unholy union that threatens the security of our Balkan holdings. We need to teach them a lesson on upsetting the balance of the region without our consent.;;;;;;;;;;;;;
BYZ_influence_romania_title;Influence Rumania;;;;;;;;;;;;;
BYZ_influence_romania_desc;Rumania has been under Imperial influence for centuries, or, arguably, for millenia, as the Rumanians are themselves descendants of Romans who settled in Dacia. They follow the Orthodox faith and have historically been tied to us politically, usually paying tribute or providing men for our armies. An excellent candidate to be integrated into the Empire!;;;;;;;;;;;;;
BYZ_vassalize_wallachia_title;Vassalize Wallachia;;;;;;;;;;;;;
BYZ_vassalize_wallachia_desc;Wallachia is one of the three Rumanian principalities that have existed without change for centuries. If we court them and remind them of past connections, they will come under our vassalage willingly.;;;;;;;;;;;;;
BYZ_vassalize_moldavia_title;Vassalize Moldavia;;;;;;;;;;;;;
BYZ_vassalize_moldavia_desc;Moldavia is one of the three Rumanian principalities that have existed without change for centuries. If we court them and remind them of past connections, they will come under our vassalage willingly.;;;;;;;;;;;;;
BYZ_vassalize_transylvania_title;Vassalize Transylvania;;;;;;;;;;;;;
BYZ_vassalize_transylvania_desc;Transylvania is one of the three Rumanian principalities that have existed without change for centuries. If we court them and remind them of past connections, they will come under our vassalage willingly.;;;;;;;;;;;;;
BYZ_conquer_romania_title;Conquer Rumania;;;;;;;;;;;;;
BYZ_conquer_romania_desc;Rumania has been under Imperial influence for centuries, or, arguably, for millenia, as the Rumanians are themselves descendants of Romans who settled in Dacia. They follow the Orthodox faith and have historically been tied to us politically, usually paying tribute or providing men for our armies. An excellent candidate to be integrated into the Empire!;;;;;;;;;;;;;
BYZ_integrate_romania_title;Integrate Rumania;;;;;;;;;;;;;
BYZ_integrate_romania_desc;With Rumania absorbed into the Empire, we can integrate the local populace into the Imperial administration.;;;;;;;;;;;;;
BYZ_kill_hungary_title;Conquer Hungary;;;;;;;;;;;;;
BYZ_kill_hungary_desc;Hungary, or Pannonia as it was known before, is a land stuck between many rocks and many hard places, itself at times managing to fulfill both roles. They were the Empire's foremost rival in the centuries past, controlling large swathes of the Balkans and protected by an alliance with the Occitans. But history was not kind to them, as they succumbed to a partition by their neighbours in the 18th century, and they were punished even further after trying to rectify their defeats during the Martletist Wars. An utterly defeated nation, Hungary must be conquered, as the influence the neighboring Slavs had on them will make their integration easier.;;;;;;;;;;;;;
BYZ_accept_hungarians_title;Accept the Hungarians;;;;;;;;;;;;;
BYZ_accept_hungarians_desc;With Hungary absorbed into the Empire, we can integrate the local populace into the Imperial administration.;;;;;;;;;;;;;
BYZ_reform_the_catepanates_title;Reform the Catepanates;;;;;;;;;;;;;
BYZ_reform_the_catepanates_desc;The Catepanates are an autonomous entity in name only, as they provide very little benefits to the South Slavic peoples who live in them. As tensions continue to grow, we face the threat of a massive uprising in the region. Instead of waiting for it to happen, we must implement Hellenophile ideas of Slavic integration and reform the Catepanates before it's too late.;;;;;;;;;;;;;
BYZ_accept_slovenes_title;Accept the Slovenes;;;;;;;;;;;;;
BYZ_accept_slovenes_desc;With Slovenia absorbed into the Empire, we can integrate the local populace into the Imperial administration.;;;;;;;;;;;;;
BYZ_march_on_rome_title;March on Rome;;;;;;;;;;;;;
BYZ_march_on_rome_desc;Rome. The Eternal City, an ancient capital of the Roman Empire, the seat of the Pope... Whatever it is, the entire world knows that Rome is the most prized posession a state could have, after Constantinople of course. The reclamation of this ancient city was the focal point of Imperial foreign policy for more than a millenium. And even though our last attempt at securing the city ended with the disastrous War of the Verona Alliance, the recent instability in Italy does present a once-in-a-lifetime opportunity...;;;;;;;;;;;;;
BYZ_accept_south_italians_title;Accept South Italians;;;;;;;;;;;;;
BYZ_accept_south_italians_desc;All of Southern Italy is now under our control. We can integrate the local populace into the Imperial administration.;;;;;;;;;;;;;
BYZ_finish_belisarius_work_title;Finish Belisarius' work;;;;;;;;;;;;;
BYZ_finish_belisarius_work_desc;Rome is the center of Italy, the most important city to hold and the chokepoint that prevented us from going north. No Verona Alliance shall stop us now!;;;;;;;;;;;;;
BYZ_roman_italy_title;A Roman Italy;;;;;;;;;;;;;
BYZ_roman_italy_desc;With Italy fully reconquered, we can integrate the local populace into the Imperial administration.;;;;;;;;;;;;;
BYZ_avenge_fourth_crusade_title;Avenge the Fourth Crusade;;;;;;;;;;;;;
BYZ_avenge_fourth_crusade_desc;The Fourth Crusade was the epitome of Latin treachery and overconfidence. Instead of attacking the vile heathens to the south, they turned their arms towards their supposed brothers in faith, setting sight towards Constantinople. They failed in the end, after Alexios II had thrown them into the sea. But we have not forgotten who were the perpetrators of this event. The perfidious city of Venice will be in Roman hands!;;;;;;;;;;;;;
BYZ_norican_frontier_title;Norican Frontier;;;;;;;;;;;;;
BYZ_norican_frontier_desc;While we would like to avoid conflicts with the Germans, the former Roman province of Norica is an integral part of their nation now, and we can't guarantee the safety of our Balkan and Italian holdings without establishing a defensive line in the mountains. We will have to seize the borderlands.;;;;;;;;;;;;;
CRP_call_for_unification_title;Carpathian Call for Unification;;;;;;;;;;;;;
CRP_call_for_unification_desc;The nations of Carpathia have been considered to be enemies for centuries. The Rumanians and Hungarians are disunited not just in language and religion, but also in mutual hatred. There is one thing that unites us however, the political and geographical positions which our people find themselves in. If we are to survive against bigger powers, we need to think pragmatically and try to overcome our differences by doing the impossible - proposing the unification of the two countries! \n§RThis decision requires you to have 10 prestige and either ally all 3 of Moldavia, Wallachia and Transylvania, defeat them in a war, or get up to 150 relations.;;;;;;;;;;;;;
form_romania_title;Form Rumania;;;;;;;;;;;;;
form_romania_desc;The Rumanian people are very different form the neghboring Slavs, Hungarians and Greeks, being the heirs of the ancient Romans. We should unite the principalities to strengthen ourselves against any external threats.;;;;;;;;;;;;;
CLT_ildathach_autonomy_title;Autonomy for Ildathach;;;;;;;;;;;;;
CLT_ildathach_autonomy_desc;Our Colombian holdings have been developing a national identity for quite some time now. Perhaps it would be wise to grant them self-rule in order to prevent a revolt and make the governance of these land more effecient.;;;;;;;;;;;;;
ILD_take_inner_labrador_title;Take Inner Labrador;;;;;;;;;;;;;
ILD_take_inner_labrador_desc;The lands deep inside the Labrador peninsula are still unclaimed. Let us rectify that before anyone else does it.;;;;;;;;;;;;;
ILD_take_northern_lakes_title;Take the Northern Lakes;;;;;;;;;;;;;
ILD_take_northern_lakes_desc;While we control the coast of the Tomhrair Bay, the inner territories are not yet tamed. We must press our claims before any of our neigbours take advantage of this.;;;;;;;;;;;;;
ILD_beyond_the_arctic_circle_title;Beyond the Arctic Circle;;;;;;;;;;;;;
ILD_beyond_the_arctic_circle_desc;Our recent colonisation efforts in the north yilded us large swathes of quite useless territory. In this situation the only logical choice would be to claim even more useless territory that has nothing but tundra and taiga.;;;;;;;;;;;;;
IRO_overlord_annex_title;Annex the Great Lakes Confederacy;;;;;;;;;;;;;
IRO_overlord_annex_desc;The Great Lakes Indians seem to be getting some very unfirtunate ideas. They are openly asking us to leave the area - clearly, it is time to reorganize the so-called 'confederacy' and integrate their lands directly. \n§RSome neighboring nations may be SEVERELY unhappy about this!;;;;;;;;;;;;;
IRO_overlord_release_title;Release the Great Lakes Confederacy;;;;;;;;;;;;;
IRO_overlord_release_desc;Our past position on the issue of the Great Lakes Indians has been too harsh. We may still be able to salvage their goodwill if we release them right now.;;;;;;;;;;;;;
VRI_rally_the_betrodden_title;Rally the Betrodden;;;;;;;;;;;;;
VRI_rally_the_betrodden_desc;In Ayllonia, many slaves still toil the fields and await liberation. We have already started this process by defeating the decadent Republic a few years ago, but now we yet again find ourselves at war with the tyrants. Sound the call, the south shall be free!;;;;;;;;;;;;;
AYL_integrate_riogrande_title;Integrate Rio Grande;;;;;;;;;;;;;
AYL_integrate_riogrande_desc;The lands on the banks of the Rio Grande that we took from Mexico more than a decade ago are still not properly integrated. With the Mexicans seemingly preparing to strike back, we must take measures to safeguard our lands against any threats.;;;;;;;;;;;;;
AYL_retake_RGR_title;Retake Rio Grande;;;;;;;;;;;;;
AYL_retake_RGR_desc;We have lost the land that had been taken by us from Mexico all the way in the 1820s. We must strike back and retake what was lost!;;;;;;;;;;;;;
AYL_golden_circle_title;The Golden Circle;;;;;;;;;;;;;
AYL_golden_circle_desc;A new radical idea is froming in the minds of our greatest thinkers. The logical contuniation to our endeavors in Mexico clearly follows the coastline of the Mexican Gulf. If we were to continue moving south, maybe we could turn the rich Gulf into our own lake.;;;;;;;;;;;;;
AYL_annex_yucatan_title;Annex Yucatan;;;;;;;;;;;;;
AYL_annex_yucatan_desc;The next step in our grand plan is the conquest of the Yucatan peninsula. Undoubtedly, the natives which densely inhabit these lands will not take us kindly, but we will show them that it is Ayllonia's destiny to achieve the Golden Circle!;;;;;;;;;;;;;
MEX_integrate_YUC_title;Integrate Yucatan;;;;;;;;;;;;;
MEX_integrate_YUC_desc;We have finally subdued the rebellious province of Yucatan that arose after the War for Independence. Let us reintegrate the peninsula into our state.;;;;;;;;;;;;;
YUC_integrate_MEX_title;Integrate Mexico;;;;;;;;;;;;;
YUC_integrate_MEX_desc;The Yucatan rebellion has come to an unexpected conclusion: more than a decade after it began, and when the world began to think that the separation between Mexico and Yucatan was almost solidifed, the rebellion, now a state of its own, destroyed its old oppressors. We shall now extend the rights we gave to the Mayans over to the natives of Mexico.;;;;;;;;;;;;;
MEX_show_of_force_title;Show of Force;;;;;;;;;;;;;
MEX_show_of_force_desc;The rebellious province of Nueva Vasconia, while having managed to fully separate itself from the Mexican nation, still holds large swathes of lands that are not inhabited by the descendants of the Basques, and the population of which is openly hostile to their government. If we show them what we are capable of, the Vaskonian government will no doubt return us the lands.;;;;;;;;;;;;;
MEX_northern_borderlands_title;The Northern Borderlands;;;;;;;;;;;;;
MEX_northern_borderlands_desc;With our core lands reconquered, we may start looking outside of our nation. While we made sure to separate our Republic from the ambitions of the failed Mexican Empire, the need to safeguard our northern border brings us the need to justify further conquests. One possible justification is the protection of smaller nations, such as the Vaskonians - but if we were to think bigger, integration of other peoples as equals may just lead to something bigger...;;;;;;;;;;;;;
MEX_take_fluminia_title;Take Fluviales;;;;;;;;;;;;;
MEX_take_fluminia_desc;The next natural step of our expansion would be incorporation of Fluviales, a nation whose population hails from the lands of Lusitania. Integrating them will not be easy, but our efforts to pacify the Rio Grande may bring us some insight.;;;;;;;;;;;;;
MEX_secure_great_plains_title;Secure the Grandes Llanuras;;;;;;;;;;;;;
MEX_secure_great_plains_desc;New threats loom from the plains of the north, ready to exploit the power vacuum that was left by our victories over Ayllonia. We shall secure the frontier.;;;;;;;;;;;;;
MEX_annex_california_title;Annex California;;;;;;;;;;;;;
MEX_annex_california_desc;The sparsely populated expanses of California and Nutka hold many untapped resources, many of our brethen and would grant us control over the entire Pacific coast. Let us bring the dream of complete Colombian unity closer.;;;;;;;;;;;;;
MEX_form_CLM_title;Form the Colombian Republic;;;;;;;;;;;;;
MEX_form_CLM_desc;Once, there was the Mexican Empire, whose quest for domination of the continent of Colombia brought untold death and destruction. Then, there was our state, which based its conquests not on imperial ambitions of any sort, but on a quest of brotherhood and unity for all Colombians. Now, we find ourselves as the sole inheritor of Espania's legacy in Colombia. We must formalize this union - proclaim the Colombian Republic!;;;;;;;;;;;;;
CLM_rockies_borderlands_title;Secure the Rocallosas;;;;;;;;;;;;;
CLM_rockies_borderlands_desc;The Montanas Rocosas are an integral part of our nation. One bit of them, however, has managed to escape colonization for quite some time. With all pressing matters sorted out, we should take what's left of the Mountains.;;;;;;;;;;;;;
CAL_annex_NBS_title;Annex Nueva Vasconia;;;;;;;;;;;;;
CAL_annex_NBS_desc;Originally Mexican province of Nueva Vasconia rebelled during the times of the Mexican Empire. They turned to us for protection, and now time has come to incorporate them into our state as equals.;;;;;;;;;;;;;
CAL_retake_NBS_title;Retake Nueva Vasconia;;;;;;;;;;;;;
CAL_retake_NBS_desc;We've lost the lands of Nueva Vasconia. The new owners of these lands will surely oppress the vulnerable population - we must take up arms and liberate it!;;;;;;;;;;;;;
AYL_kill_vrijland_title;End the Bandit State;;;;;;;;;;;;;
AYL_kill_vrijland_desc;The bandit state of Vrijland, having the audacity to call themselves 'liberators', clearly only bring chaos and disorder to the continent. In fact, they have been doing it for well over a century, ever since the colonial authorities of Denmark lost control of their Dutch subjects. Stability will only ensue if Vrijland is wiped off the face of the Earth.;;;;;;;;;;;;;
VRI_kill_ayllonia_title;Destroy Ayllonia;;;;;;;;;;;;;
VRI_kill_ayllonia_desc;With the fall of Ambrosia, it is only a matter of time until someone puts the remnants of the Ayllonian Republic our of their misery. Let it be us, for their lands are still full of enslaved peoples.;;;;;;;;;;;;;
VRI_accept_ayllonians_desc;Integrate Ayllonians;;;;;;;;;;;;;
VRI_accept_ayllonians_title;After the destruction of their wretched state, the population of the former Ayllonia finds itself in a state of limbo. While we claim to accept all people equally, clearly, the ideas of their superiority and the desire for exploitation of others lie deeply within Ayllonians. We must remake their society accordingly, so that the evils that arose from these lands may never come to be again.;;;;;;;;;;;;; 
VRI_take_AYL_borderlands_title;Cross the Ohio;;;;;;;;;;;;;
VRI_take_AYL_borderlands_desc;The Ayllonian state had managed to convince the Celts to give up some land in the north. Now that we've dealt with Ayllonia itself, we may seize their newly-made colonies.;;;;;;;;;;;;;
VRI_expand_frontier_title;Expand the Frontier;;;;;;;;;;;;;
VRI_expand_frontier_desc;To our north lies the Lacustrine Confederacy, a thorn in our side and a barrier to our expansion towards the Great Lakes. The lands that are held by these natives would be economically useful to an extensive degree, which means that we need to take action.;;;;;;;;;;;;;
VRI_manifest_destiny_title;Manifest Destiny;;;;;;;;;;;;;
VRI_manifest_destiny_desc;The last few decades have shown us that that nothing can stand in the way of our forces. Our main adversary, Vrijland, has fallen to the relentless march of freedom. The future is clear: it is our Manifest Destiny to liberate Colombia from oppressors!;;;;;;;;;;;;;
VRI_liberate_acadia_title;Liberate Acadia;;;;;;;;;;;;;
VRI_liberate_acadia_desc;Acadia has long been a colony of Oilitania. And just like us, they have had an extensive history of colonial resistance - let us finally free them from the clutches of Paris!;;;;;;;;;;;;;
VRI_great_lakes_title;Expand in the Great Lakes;;;;;;;;;;;;;
VRI_great_lakes_desc;The lands of the Great Lakes turned out to be even more rich and profitable than we thought. We shall settle them in their entirety!;;;;;;;;;;;;;
VRI_ildathach_title;Liberate Ildathach;;;;;;;;;;;;;
VRI_ildathach_desc;Ildathach is a relatively young nation, having started to develop its national identity only during the Martletist Wars. This allowed the Celtic Union to keep Ildathach under their thumb. We will liberate them and incorporate them into our Republic!;;;;;;;;;;;;;
DES_beachan_title;Colonize Beachan;;;;;;;;;;;;;
DES_beachan_desc;We need to secure the lands in immediate proximity to our homelands.;;;;;;;;;;;;;
DES_ciseachachan_title;Colonize Ciseachachan;;;;;;;;;;;;;
DES_ciseachachan_desc;Ciseachachan is a continuation of the northern part of the Great Plains. We must secure it until the Ildathach do it.;;;;;;;;;;;;;
DES_move_south_title;Move South;;;;;;;;;;;;;
DES_move_south_desc;The plains to our south, known to the Hispanics as Extension Norte, are yet unclaimed by any Colombian powers. We should move in before anyone alse does.;;;;;;;;;;;;;
DES_secure_bhinnepeg_title;Secure Bhinnepeg;;;;;;;;;;;;;
DES_secure_bhinnepeg_desc;The borders of Ildathach are getting dangerously close to ours. And yet despite Celtic expansion in the area, the most important lands around the Lake Bhinnepeg are still wild and empty. We cannot miss this opportunity to secure more land for our settlers.;;;;;;;;;;;;;
RGR_claim_altiplano_title;Claim Altiplano;;;;;;;;;;;;;
RGR_claim_altiplano_desc;Our lands are barren steppes with little to no natural resources, which means that we have no hope of ever becoming a self-sufficient nation. As such, we must claim our southern borderlands and secure the gold mines of Santa Maria del Oro and the iron mines of Zacatecas!;;;;;;;;;;;;;
AYL_conquer_taguzgalpa_title;Conquer Taguzgalpa;;;;;;;;;;;;;
AYL_conquer_taguzgalpa_desc;The nation of Taguzgalpa is an unfortunate one, being born an illegitimate and unwanted child of the Espanians and the Moriscos. They do, however, hold lands with significant potential for economic development. They will be better a part of the Republic.;;;;;;;;;;;;;
CAL_take_hawaii_title;Claim Hawaii;;;;;;;;;;;;;
CAL_take_hawaii_desc;We have maintained continuous presence on the islands of Hawaii for quite some time now. We must secure these islands to exert more influence on the Pacific.;;;;;;;;;;;;;
CLM_conquer_taguzgalpa_title;Conquer Taguzgalpa;;;;;;;;;;;;;
CLM_conquer_taguzgalpa_desc;The nation of Taguzgalpa is an unfortunate one, being born an illegitimate and unwanted child of the Espanians and the Moriscos. They do, however, hold lands with significant potential for economic development. They will be better a part of Colombia.;;;;;;;;;;;;;
CLM_kill_ayllonia_title;Integrate Ayllonia;;;;;;;;;;;;;
CLM_kill_ayllonia_desc;The nation of Ayllonia is, or was, one of the most important Hispanic nations in Colombia. Following the numerous defeats inflicted on them by us, they have completely fallen apart and lost all dignity. We finally bring this vast amount of our Hispanic brethen into the Union.;;;;;;;;;;;;;
MEX_colombian_ambition_title;Colombian Ambition;;;;;;;;;;;;;
MEX_colombian_ambition_desc;A new idea has sprung up among our people following our northern conquests. The integration of our brethen, so different yet so alike, clearly overstretches our state, and a simple '$COUNTRY$' is not fit anymore. We must strive for a creation of a greater union between all Hispanocolombians!;;;;;;;;;;;;;
CRP_accept_south_slavs_title;Accept South Slavs;;;;;;;;;;;;;
CRP_accept_south_slavs_desc;South Slavic peoples are, just like us, located between more powerful empires. Instead of fighting each other, we should unite to better resist those who try to conquer us.;;;;;;;;;;;;;
BRB_form_dietsland_title;Form Dietsland;;;;;;;;;;;;;
BRB_form_dietsland_desc;Back in the day, there was the Dutch Republic, a nation-state for all Lowlanders, that was successfully crushed by us. A no-brainer solution to our current identity crisis would be to simply take up the mantle of the old Dutch state as a basis for our own. However, there exists a vocal minority who call for an extended union between the Lowlanders and the Low Germans. Perhaps, Dietsland is our true destiny?;;;;;;;;;;;;;
debug_enable_title;Enable Debug;;;;;;;;;;;;;
debug_enable_desc;This decision allows you to enable debug. Don't click this if you don't know what you're doing;;;;;;;;;;;;;
RUS_georgievsk_title;Treaty of Georgievsk;;;;;;;;;;;;;
RUS_georgievsk_desc;The Treaty of Georgievsk was a bilateral treaty signed between Russia and Georgia. The treaty established eastern Georgia as a protectorate of Russia, which guaranteed its territorial integrity and the continuation of its reigning Bagrationi dynasty in return for prerogatives in the conduct of Georgian foreign affairs.;;;;;;;;;;;;;
decision_example_title;text;;;;;;;;;;;;;
decision_example_desc;text;;;;;;;;;;;;;
LOM_invite_lucca_title;Invite the Duchy of Lucca;;;;;;;;;;;;;
LOM_invite_lucca_desc;Talks have been ongoing for several years with the small Duchy of Lucca on the matter of them joining the League. There exists heavy opposition to the accession of a new member state, considering the unstable situation inside the League, but the government is sure that securing a favorable treaty with Lucca will be met with jubilation in Milan.;;;;;;;;;;;;;
ITA_magna_graecia_title;Integrate Magna Graecia;;;;;;;;;;;;;
ITA_magna_graecia_desc;The Byzantine Empire had seized the southern tip of Italy all the way back in the 16th century. Since then, many Greek immigrants have arrived in the area, inflating the numbers of the local Griko population, which consists of the remnants of the ancient Greek settlements there. Thankfully, the Grikos have formed quite a distinct identity on their own, and we will be able to easily integrate them.;;;;;;;;;;;;;
ITA_claim_africa_title;Claim Africa;;;;;;;;;;;;;
ITA_claim_africa_desc;The Kingdom of Africa was a failed project of the Sicilian Hautevilles. Nevertheless, there are many ethnic Italians living in the coastal cities, and with Italy being in an active search for a colony, Tunisia and Tripolitania will become excellent candidates for our new lands.;;;;;;;;;;;;;
LOM_punish_tuscany_title;Punish Tuscany;;;;;;;;;;;;;
LOM_punish_tuscany_desc;The League of Milan is no more, but the consequences of its actions still linger in the air, as the damage from Tuscany's proclamation of a Kingdom has not yet been dealt with. We need to punish Firenze, and the whole Tuscan state.;;;;;;;;;;;;;
LOM_march_on_rome_title;March on Rome;;;;;;;;;;;;;
LOM_march_on_rome_desc;With Tuscany's demise, Rome, the Eternal City, is within sight. Ruled by the Pope, it is absolutely be a most prized posession for the Byzantine Empire. We need to secure Lazio for ourselves.;;;;;;;;;;;;;
komneniad_form_italy_title;Form Italy;;;;;;;;;;;;;
komneniad_form_italy_desc;Italy has not been united since the days of Theoderic. Always a target of foreign conquerors, the small Italian states have been content with the nation being split apart. We need to bring an end to this state of affairs - Italy shall be united!;;;;;;;;;;;;;
ARE_annex_bern_title;Annex the Bern Confederation;;;;;;;;;;;;;
